run_id,timestamp,model,dataset,activation,nhidden,nhidden2,residual,lr,batch_size,epochs,val_ratio,seed,best_epoch,best_val_accuracy,best_test_accuracy,final_train_loss,final_val_loss,final_test_loss,training_time_sec,plot_path
linear_classifier_lr0.01_bs4_ep20_seed42_20260924-131836,2026-09-24T13:20:00,Linear Classifier,full,,,,,0.01,4,20,0.2,42,18,85.25,85.45,0.3119,0.4478,0.4393,83.92,results\plots\linear_classifier_lr0.01_bs4_ep20_seed42_20260924-131836_training_history.png
linear_classifier_50pct_lr0.01_bs4_ep20_seed42_20260924-132003,2026-09-24T13:20:45,Linear Classifier,50pct,,,,,0.01,4,20,0.2,42,19,84.5,85.4,0.3145,0.4757,0.4495,41.79,results\plots\linear_classifier_50pct_lr0.01_bs4_ep20_seed42_20260924-132003_training_history.png
linear_classifier_10pct_lr0.01_bs4_ep20_seed42_20260924-132046,2026-09-24T13:20:56,Linear Classifier,10pct,,,,,0.01,4,20,0.2,42,20,83.6667,83.54,0.3154,0.4867,0.4903,9.32,results\plots\linear_classifier_10pct_lr0.01_bs4_ep20_seed42_20260924-132046_training_history.png
two-layer_mlp_sigmoid_h30_lr0.01_bs4_ep20_seed42_20260924-132100,2026-09-24T13:23:27,Two-Layer MLP,full,sigmoid,30,,,0.01,4,20,0.2,42,17,86.8667,86.95,0.2814,0.3752,0.362,145.84,results\plots\two-layer_mlp_sigmoid_h30_lr0.01_bs4_ep20_seed42_20260924-132100_training_history.png
two-layer_mlp_sigmoid_h30_50pct_lr0.01_bs4_ep20_seed42_20260924-132329,2026-09-24T13:24:42,Two-Layer MLP,50pct,sigmoid,30,,,0.01,4,20,0.2,42,20,85.85,86.22,0.3122,0.4131,0.3906,72.61,results\plots\two-layer_mlp_sigmoid_h30_50pct_lr0.01_bs4_ep20_seed42_20260924-132329_training_history.png
two-layer_mlp_sigmoid_h30_10pct_lr0.01_bs4_ep20_seed42_20260924-132444,2026-09-24T13:25:00,Two-Layer MLP,10pct,sigmoid,30,,,0.01,4,20,0.2,42,20,81.3333,80.77,0.4891,0.5446,0.5481,15.33,results\plots\two-layer_mlp_sigmoid_h30_10pct_lr0.01_bs4_ep20_seed42_20260924-132444_training_history.png
three-layer_mlp_sigmoid_h30_h2-30_lr0.01_bs4_ep20_seed42_20260924-132504,2026-09-24T13:28:04,Three-Layer MLP,full,sigmoid,30,30,False,0.01,4,20,0.2,42,20,86.9,86.78,0.2821,0.3808,0.373,179.78,results\plots\three-layer_mlp_sigmoid_h30_h2-30_lr0.01_bs4_ep20_seed42_20260924-132504_training_history.png
three-layer_mlp_sigmoid_h30_h2-30_50pct_lr0.01_bs4_ep20_seed42_20260924-132807,2026-09-24T13:29:37,Three-Layer MLP,50pct,sigmoid,30,30,False,0.01,4,20,0.2,42,20,82.05,82.4,0.4468,0.5212,0.5007,89.44,results\plots\three-layer_mlp_sigmoid_h30_h2-30_50pct_lr0.01_bs4_ep20_seed42_20260924-132807_training_history.png
three-layer_mlp_sigmoid_h30_h2-30_10pct_lr0.01_bs4_ep20_seed42_20260924-132938,2026-09-24T13:29:58,Three-Layer MLP,10pct,sigmoid,30,30,False,0.01,4,20,0.2,42,1,10.0,10.0,2.2919,2.3038,2.3038,19.8,results\plots\three-layer_mlp_sigmoid_h30_h2-30_10pct_lr0.01_bs4_ep20_seed42_20260924-132938_training_history.png
three-layer_mlp_sigmoid_h30_h2-30_residual_lr0.01_bs4_ep20_seed42_20260924-133003,2026-09-24T13:33:10,Three-Layer MLP,full,sigmoid,30,30,True,0.01,4,20,0.2,42,20,87.55,87.36,0.2447,0.3617,0.3528,186.52,results\plots\three-layer_mlp_sigmoid_h30_h2-30_residual_lr0.01_bs4_ep20_seed42_20260924-133003_training_history.png
three-layer_mlp_sigmoid_h30_h2-30_residual_50pct_lr0.01_bs4_ep20_seed42_20260924-133312,2026-09-24T13:34:43,Three-Layer MLP,50pct,sigmoid,30,30,True,0.01,4,20,0.2,42,19,85.15,85.76,0.2772,0.4261,0.4011,90.21,results\plots\three-layer_mlp_sigmoid_h30_h2-30_residual_50pct_lr0.01_bs4_ep20_seed42_20260924-133312_training_history.png
three-layer_mlp_sigmoid_h30_h2-30_residual_10pct_lr0.01_bs4_ep20_seed42_20260924-133445,2026-09-24T13:35:04,Three-Layer MLP,10pct,sigmoid,30,30,True,0.01,4,20,0.2,42,18,81.75,80.83,0.4363,0.5346,0.5375,18.88,results\plots\three-layer_mlp_sigmoid_h30_h2-30_residual_10pct_lr0.01_bs4_ep20_seed42_20260924-133445_training_history.png
three-layer_mlp_sigmoid_h30_h2-30_residual_lr0.001_bs4_ep20_seed42_20260924-133508,2026-09-24T13:38:05,Three-Layer MLP,full,sigmoid,30,30,True,0.001,4,20,0.2,42,20,82.1917,82.49,0.4976,0.5161,0.507,176.91,results\plots\three-layer_mlp_sigmoid_h30_h2-30_residual_lr0.001_bs4_ep20_seed42_20260924-133508_training_history.png
three-layer_mlp_sigmoid_h30_h2-30_residual_lr1.0_bs4_ep20_seed42_20260924-133810,2026-09-24T13:41:03,Three-Layer MLP,full,sigmoid,30,30,True,1.0,4,20,0.2,42,20,83.1083,83.36,0.2618,0.5443,0.5243,173.05,results\plots\three-layer_mlp_sigmoid_h30_h2-30_residual_lr1.0_bs4_ep20_seed42_20260924-133810_training_history.png
three-layer_mlp_sigmoid_h30_h2-30_residual_lr10.0_bs4_ep20_seed42_20260924-134107,2026-09-24T13:44:03,Three-Layer MLP,full,sigmoid,30,30,True,10.0,4,20,0.2,42,1,10.0,10.0,24.8679,24.8679,24.8679,175.09,results\plots\three-layer_mlp_sigmoid_h30_h2-30_residual_lr10.0_bs4_ep20_seed42_20260924-134107_training_history.png
three-layer_mlp_sigmoid_h30_h2-30_residual_lr100.0_bs4_ep20_seed42_20260924-134407,2026-09-24T13:47:02,Three-Layer MLP,full,sigmoid,30,30,True,100.0,4,20,0.2,42,1,10.0,10.0,nan,nan,nan,174.92,results\plots\three-layer_mlp_sigmoid_h30_h2-30_residual_lr100.0_bs4_ep20_seed42_20260924-134407_training_history.png
three-layer_mlp_sigmoid_h30_h2-30_residual_lr0.01_bs1_ep20_seed42_20260924-134706,2026-09-24T13:58:47,Three-Layer MLP,full,sigmoid,30,30,True,0.01,1,20,0.2,42,20,87.9167,87.89,0.1652,0.3598,0.3461,700.13,results\plots\three-layer_mlp_sigmoid_h30_h2-30_residual_lr0.01_bs1_ep20_seed42_20260924-134706_training_history.png
three-layer_mlp_sigmoid_h30_h2-30_residual_lr0.01_bs8_ep20_seed42_20260924-135851,2026-09-24T14:00:24,Three-Layer MLP,full,sigmoid,30,30,True,0.01,8,20,0.2,42,20,86.675,86.56,0.3045,0.3819,0.3715,93.06,results\plots\three-layer_mlp_sigmoid_h30_h2-30_residual_lr0.01_bs8_ep20_seed42_20260924-135851_training_history.png
three-layer_mlp_sigmoid_h30_h2-30_residual_lr0.01_bs16_ep20_seed42_20260924-140028,2026-09-24T14:01:21,Three-Layer MLP,full,sigmoid,30,30,True,0.01,16,20,0.2,42,20,85.05,85.63,0.3752,0.4198,0.4082,51.66,results\plots\three-layer_mlp_sigmoid_h30_h2-30_residual_lr0.01_bs16_ep20_seed42_20260924-140028_training_history.png
